"V1" "V2" "V3"
"1" 0.00163843887746623 8.79189050439555e-05 0.000668574032863908
"2" 0.00175372956298399 0.000196017402444557 0.00151706994675044
"3" 0.000432786476924622 0.000520418018079606 9.56143824771198e-05
"4" 0.00475622112264361 0.00556133638793992 0.000543909491522731
"5" 0.00473847865800259 0.000474131477003839 0.000756903526833031
"6" 0.00401858822987508 0.00461376811422481 9.45048066384685e-05
"7" 0.00317845078035156 0.000674441346551348 0.00925158421560848
"8" 0.00519961204527742 0.00177075927219748 0.00337617098172561
"9" 0.0011023721848468 0.00163273600077751 0.00766650750276104
"10" 0.00948333299394141 0.00321926073600004 0.00101830894561225
"11" 0.00389030869630791 0.00623725034818358 0.000191734755421349
"12" 0.00167864948742721 4.29158657637491e-06 3.18427409049807e-05
"13" 0.00362226825479031 0.000143902463084992 0.000488538047045401
"14" 0.0129140180966349 3.07128496583883e-05 0.000319820919754339
"15" 0.0657650547852817 0.0029657766480091 0.00119997425417523
"16" 0.00315922749339606 0.000626875343653188 0.00265413667138326
"17" 0.0404499690275922 0.00452168781925803 0.000503351450606458
"18" 0.0035544132932538 0.000879343208961459 0.000502940024675903
"19" 0.00027124140798413 0.000264742987023203 0.00928369169780286
"20" 0.00211684264682128 0.000246219484676536 0.00142007257361913
"21" 0.00101172511498378 0.000282056599043852 0.000617451897450545
"22" 0.000349503624572022 0.00433460454684098 0.000129539543865808
"23" 0.000372224737243685 0.00296021072631488 0.00848157974026396
"24" 0.0296685041047422 0.0136197737669595 0.00140567186589223
"25" 0.020760776564226 0.0104048743790006 0.000175482858726123
"26" 0.0137969377582765 0.000620515618083027 0.000309995809257974
"27" 0.000637353053727764 0.00426674290077272 0.000534136294695728
"28" 0.00224106189014832 0.00452026288993753 0.000256032388561708
"29" 0.00959729588644386 0.000292895465161154 0.00155095107318906
"30" 0.00523867779324057 0.00354741482533643 0.00064321815136607
"31" 0.000352027165492397 0.000254208964245866 0.00113237048995173
"32" 0.00111626723613095 0.000536847443537631 0.000840402121977245
"33" 0.000546616785623345 0.000799492773085072 0.00071400254768174
"34" 0.000287866246305858 0.001648839516441 0.000746185270567446
"35" 0.00469226326225131 0.00382498092078991 0.000441123080761901
"36" 0.00222278246212073 0.00372923095492007 0.00506124658405187
"37" 0.00381525567202336 4.16823359501846e-05 0.000491110196008434
"38" 0.00539501076443822 0.00135389038174229 3.14152243278558e-05
"39" 0.00278853356606013 0.000216479185811316 0.000106956303117351
"40" 0.0041714519677094 0.000197290356513329 0.000129428708944424
"41" 0.000137456268582672 0.000371383713894301 0.015684246648989
"42" 0.00455799278028955 0.00152061804305733 0.00547096952251705
"43" 0.0124774659851568 0.000220976684505706 0.000225907339106332
"44" 0.000322950466847324 0.000939149191399017 0.00109718241342995
"45" 0.000466051226045569 0.000505789638955652 0.000314379957459387
"46" 0.00163987732784359 0.00131667614149352 0.000829107680794577
"47" 0.0426679837761216 0.000204516211351489 0.00133576838180572
"48" 0.00323128725489885 0.000505334920865044 0.00246587887351238
"49" 0.0155647301741985 0.00340265361165929 0.00152181725430089
"50" 0.000550936827939185 3.44595443985761e-05 0.00353303072538811
"51" 0.00805846606987243 0.00279345005329517 0.000127450722501787
"52" 0.000241933549256787 0.00263856551721772 0.00369674223204688
"53" 0.00158826318629392 0.0192966544157859 0.00130766540040981
