"V1" "V2" "V3"
"1" 1.44434814806343e-05 9.31848825169323e-06 2.67722666217412e-05
"2" 1.84148762401548e-05 4.39999794138925e-06 2.57250245446036e-06
"3" 6.75253824046688e-05 0.000140055379300404 2.62978778671738e-06
"4" 8.45994088585661e-05 5.10743911540606e-06 2.39418141789013e-06
"5" 2.79089622586986e-05 4.42264828452623e-05 3.524239362044e-05
"6" 5.35033732202552e-06 6.54272546162222e-06 1.73623170715279e-05
"7" 2.75483613329006e-05 1.6434433247634e-06 2.51522755844037e-06
"8" 9.65674845174164e-05 7.67028599397543e-06 3.78030963650174e-06
"9" 0.000190592584470172 8.70445694739903e-06 1.23385543532704e-05
"10" 7.18734932554799e-05 1.76394902948212e-05 2.10438779950467e-05
"11" 1.08946317374184e-05 7.73601800288168e-05 5.15555544861452e-05
"12" 4.13940953701835e-06 4.35781713605899e-05 9.77100223588066e-06
"13" 2.44259173543325e-06 2.16958554772093e-05 5.50288859648776e-06
"14" 4.53174916220155e-05 6.17848443905661e-06 1.8225925120964e-05
"15" 3.32944365493959e-05 3.09843079976106e-06 1.29070571187865e-05
"16" 8.6250057995298e-06 3.09850409015364e-05 4.21308226049987e-07
"17" 7.31208517890916e-06 0.000132692586917066 5.42275098414304e-06
"18" 1.10765792444131e-05 1.3471500105711e-06 2.05826625996534e-05
"19" 8.1464374362085e-05 4.70633577056464e-06 1.54209806541154e-05
"20" 6.54948544763527e-05 7.27793915719589e-05 6.83277140747849e-06
"21" 2.32572357198131e-05 3.44729067262709e-06 7.39465083233166e-07
"22" 1.79765707115663e-05 4.88046886113394e-05 6.60015434848964e-06
"23" 7.13969002563736e-05 1.07999515692184e-06 6.45734375418743e-06
"24" 0.000121431061558837 2.44959853862647e-06 6.49331416262904e-06
"25" 2.05730746145728e-05 2.3547328370889e-06 4.45433481011513e-05
"26" 2.96527373844805e-05 3.59199054476744e-05 1.67741577782546e-05
"27" 3.20060480645849e-06 7.74017965439458e-05 2.67522633342905e-06
"28" 4.23170465938233e-05 2.3003565916946e-05 0.000192580366640485
"29" 6.26268264116642e-05 1.00760183181823e-05 3.20893660100404e-06
"30" 4.84243490250178e-05 6.02866285697707e-06 1.14379767247353e-05
"31" 6.28688166795257e-05 8.12415128760261e-06 1.97816380280399e-05
"32" 1.7454165462798e-05 4.25543691646503e-06 1.8527044533549e-05
"33" 1.51361775845905e-05 3.16921772758154e-06 5.42031143807414e-05
"34" 3.83406576572862e-05 4.81979493562778e-06 1.10602416458167e-05
"35" 6.02731097902586e-05 2.79103177155564e-05 1.87413105550746e-05
"36" 1.40316948245204e-05 6.65957818479216e-05 5.9434534684375e-07
"37" 1.62513021720716e-05 4.51440227667976e-06 4.83865735860104e-05
"38" 1.7813290822667e-05 3.64840463103152e-06 1.06486973449186e-05
"39" 6.85299720247985e-05 2.12194467481021e-06 8.38012824482266e-06
"40" 1.66688927551429e-05 1.98175915274556e-06 1.45616321187359e-05
"41" 5.05045166018209e-05 2.50796957921222e-05 9.38958606583872e-05
"42" 7.91182698986267e-06 2.3819759992454e-05 3.45305555488619e-06
"43" 0.000133127295402192 1.66561093468188e-06 1.46359496574144e-05
"44" 9.23430023920949e-05 2.09383187888615e-05 6.90717101121238e-06
"45" 4.68843483008385e-05 3.36396042305928e-06 1.29738804880479e-05
"46" 2.71787370702144e-05 3.96252670848852e-06 3.70097005062423e-06
"47" 6.45162476110282e-05 1.05520848929775e-05 1.33898279894024e-05
"48" 1.58823439471415e-05 5.09525305486856e-06 1.69493467401651e-05
"49" 0.000150743727727372 8.96622025413202e-05 5.66820314982464e-05
"50" 3.52923737383412e-06 5.03063855186137e-06 6.03872096756403e-05
"51" 6.14586216941341e-06 6.58849606652717e-06 2.48436236353981e-05
"52" 3.97606666953056e-05 2.62181003561513e-05 7.62042088986472e-06
"53" 3.80813206920602e-05 2.25575131891967e-05 7.49935830185528e-05
"54" 7.14219068124811e-05 1.09656573419977e-05 3.44692295982157e-06
"55" 0.000234172233880428 3.24728049175179e-05 5.09800290507758e-05
"56" 7.54067295692761e-05 6.3262446145871e-06 2.61800404928981e-06
"57" 1.67846897278231e-05 7.30912267286914e-06 6.20851512417889e-05
"58" 5.90602817071505e-06 1.11339785637437e-05 9.8746349363345e-07
"59" 6.49354272277722e-05 8.14945426309062e-06 2.0947530462802e-06
"60" 8.23730992698513e-06 1.74266387717771e-05 1.81777947182703e-05
"61" 7.39948120853165e-05 3.15661997276162e-06 1.42504971649045e-05
"62" 1.7919915436351e-05 7.27466801223229e-06 5.60992282250891e-06
"63" 9.77058426315402e-05 6.15945886641284e-05 6.12598573021548e-05
"64" 7.70187023822915e-06 5.46591343428571e-06 2.73770458817399e-06
"65" 2.35036082813266e-05 5.07251793361281e-05 2.10635653005504e-05
"66" 0.00010428075316324 6.17292103814076e-05 4.79524818574044e-06
"67" 2.63857724211831e-05 8.21607203390913e-06 8.38513946373256e-06
"68" 3.83029486599921e-06 0.000230882454595424 3.4994750532223e-05
"69" 4.25446198767236e-05 1.13352341518529e-05 3.14450323803271e-06
"70" 9.13499504072769e-06 5.97764014994224e-06 2.26227615147193e-06
